unit_id,county,township,service_point_count,essential_service_count,service_accessibility_score,service_gap_score,nearest_essential_service_distance_m,estimated_nearest_essential_travel_time_min,road_segment_count,road_length_km,mean_road_speed_kmh,capacity_norm,essential_norm,travel_time_inverse_norm
江北区|观音桥街道|653,江北区,观音桥街道,21254.0,1093.0,0.982047,0.017953,83.634,0.181,207.0,117.204857,37.483961,0.0,0.0,0.0
永川区|中山路街道|641,永川区,中山路街道,16210.0,1130.0,0.869334,0.130666,158.822,0.34,164.0,193.673735,37.813154,0.0,0.0,0.0
渝北区|回兴街道|689,渝北区,回兴街道,15368.0,1080.0,0.836587,0.163413,203.424,0.431,425.0,225.52734,38.25305,0.0,0.0,0.0
沙坪坝区|虎溪街道|817,沙坪坝区,虎溪街道,11550.0,1174.0,0.769155,0.230845,95.074,0.221,462.0,250.91738,34.831266,0.0,0.0,0.0
渝北区|双龙湖街道|704,渝北区,双龙湖街道,12713.0,952.0,0.738067,0.261933,434.561,1.076,282.0,191.484119,32.712768,0.0,0.0,0.0
渝北区|鸳鸯街道|694,渝北区,鸳鸯街道,11939.0,896.0,0.709672,0.290328,31.566,0.072,272.0,164.895418,35.669895,0.0,0.0,0.0
九龙坡区|石桥铺街道|784,九龙坡区,石桥铺街道,13728.0,639.0,0.687533,0.312467,169.747,0.359,313.0,139.602206,38.308028,0.0,0.0,0.0
渝北区|人和街道|688,渝北区,人和街道,10289.0,924.0,0.675239,0.324761,240.628,0.491,258.0,184.446423,39.676531,0.0,0.0,0.0
南岸区|南坪街道|123,南岸区,南坪街道,11271.0,737.0,0.654035,0.345965,7.588,0.016,84.0,32.337734,38.637554,0.0,0.0,0.0
九龙坡区|渝州路街道|783,九龙坡区,渝州路街道,9890.0,821.0,0.641756,0.358244,15.708,0.038,154.0,71.452253,33.712029,0.0,0.0,0.0
垫江县|桂溪镇|306,垫江县,桂溪镇,10433.0,767.0,0.641148,0.358852,53.883,0.125,278.0,190.395072,34.886161,0.0,0.0,0.0
渝北区|龙溪街道|696,渝北区,龙溪街道,10219.0,775.0,0.637722,0.362278,77.811,0.154,149.0,60.653108,40.992822,0.0,0.0,0.0
璧山区|璧泉街道|408,璧山区,璧泉街道,11057.0,706.0,0.637378,0.362622,428.177,0.979,247.0,278.814449,35.413626,0.0,0.0,0.0
长寿区|凤城街道|118,长寿区,凤城街道,9236.0,791.0,0.616131,0.383869,364.274,0.668,297.0,251.077687,44.185234,0.0,0.0,0.0
铜梁区|东城街道|100,铜梁区,东城街道,9385.0,661.0,0.584101,0.415899,804.863,1.411,162.0,192.914037,46.191625,0.0,0.0,0.0
合川区|合阳城街道|284,合川区,合阳城街道,9228.0,701.0,0.582607,0.417393,1597.124,3.316,340.0,162.910095,39.014515,0.0,0.0,0.0
渝北区|天宫殿街道|697,渝北区,天宫殿街道,10154.0,566.0,0.582413,0.417587,342.017,0.643,415.0,179.157265,43.103961,0.0,0.0,0.0
綦江区|文龙街道|55,綦江区,文龙街道,9046.0,674.0,0.577989,0.422011,1002.632,1.72,227.0,178.742969,47.220939,0.0,0.0,0.0
渝中区|解放碑街道|507,渝中区,解放碑街道,11306.0,426.0,0.577199,0.422801,29.782,0.078,98.0,23.929792,30.792745,0.0,0.0,0.0
