node_id,label,biz_id,name,properties
project:MP000001,MajorProject,MP000001,示范重大项目A-0001,"{""city"": ""示范省B示范市2"", ""construction_unit"": ""示范建设单位-002"", ""county"": ""示范县2"", ""generator_version"": ""major_project_synthetic_core_v1"", ""geom_wkt"": ""POLYGON((118.020000 31.020000, 118.026000 31.020000, 118.026000 31.026000, 118.020000 31.026000, 118.020000 31.020000))"", ""list_year"": 2023, ""planned_land_area_mu"": 26.0, ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""project_type"": ""能源"", ""province"": ""示范省B"", ""status"": ""已供地"", ""synthetic_seed"": 20260604, ""total_investment_million"": 237.24, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
landplan:PLAN000001,LandPlan,PLAN000001,LandPlan-PLAN000001,"{""approval_date"": ""2022-02-04"", ""area_mu"": 26.16, ""dzjgh"": ""DZJGH-01-00000001"", ""flowsn"": ""FLOW-01-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""plan_id"": ""PLAN000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""land_plan"", ""stage_name"": ""用地计划配置"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
prereview:PRE000001,PreReview,PRE000001,PreReview-PRE000001,"{""approval_date"": ""2022-02-27"", ""area_mu"": 24.43, ""dzjgh"": ""DZJGH-02-00000001"", ""flowsn"": ""FLOW-02-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""pre_review_id"": ""PRE000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""pre_review"", ""stage_name"": ""建设项目用地预审"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""xs_dzjgh"": ""DZJGH-02-00000001"", ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
siteselection:SITE000001,SiteSelection,SITE000001,SiteSelection-SITE000001,"{""approval_date"": ""2022-03-22"", ""area_mu"": 25.4, ""dzjgh"": ""DZJGH-03-00000001"", ""flowsn"": ""FLOW-03-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""site_selection_id"": ""SITE000001"", ""stage"": ""site_selection"", ""stage_name"": ""规划选址"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
conversionexpropriation:CONV000001,ConversionExpropriation,CONV000001,ConversionExpropriation-CONV000001,"{""approval_date"": ""2022-04-14"", ""area_mu"": 25.93, ""conversion_id"": ""CONV000001"", ""dzjgh"": ""DZJGH-04-00000001"", ""flowsn"": ""FLOW-04-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""conversion_expropriation"", ""stage_name"": ""农用地转用和土地征收"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
approvalproject:APPR000001,ApprovalProject,APPR000001,ApprovalProject-APPR000001,"{""approval_date"": ""2022-05-07"", ""approval_project_id"": ""APPR000001"", ""area_mu"": 25.53, ""bp_guid"": ""BP-00000001"", ""dzjgh"": ""DZJGH-05-00000001"", ""flowsn"": ""FLOW-05-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""approval_project"", ""stage_name"": ""建设用地审批项目"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
approvalsupply:APPS000001,ApprovalSupply,APPS000001,ApprovalSupply-APPS000001,"{""approval_date"": ""2022-05-30"", ""approval_supply_id"": ""APPS000001"", ""area_mu"": 26.09, ""bp_guid"": ""BP-00000001"", ""dzjgh"": ""DZJGH-06-00000001"", ""flowsn"": ""FLOW-06-00000001"", ""gd_guid"": ""GD-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""approval_supply"", ""stage_name"": ""批供关联"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
landsupply:SUP000001,LandSupply,SUP000001,LandSupply-SUP000001,"{""approval_date"": ""2022-06-22"", ""area_mu"": 19.02, ""dzjgh"": ""DZJGH-07-00000001"", ""flowsn"": ""FLOW-07-00000001"", ""gd_guid"": ""GD-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_supply_id"": ""SUP000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""land_supply"", ""stage_name"": ""土地供应"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
landusepermit:LUP000001,LandUsePermit,LUP000001,LandUsePermit-LUP000001,"{""approval_date"": ""2022-07-15"", ""area_mu"": 18.34, ""dzjgh"": ""DZJGH-08-00000001"", ""flowsn"": ""FLOW-08-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""land_use_permit_id"": ""LUP000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""land_use_permit"", ""stage_name"": ""建设用地规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""ygdzjgh"": ""DZJGH-08-00000001"", ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
constructionpermit:CP000001,ConstructionPermit,CP000001,ConstructionPermit-CP000001,"{""approval_date"": ""2022-08-07"", ""area_mu"": 21.01, ""construction_permit_id"": ""CP000001"", ""dzjgh"": ""DZJGH-09-00000001"", ""flowsn"": ""FLOW-09-00000001"", ""generator_version"": ""major_project_synthetic_core_v1"", ""ggdzjgh"": ""DZJGH-09-00000001"", ""profile"": ""small_dev"", ""project_id"": ""MP000001"", ""project_name"": ""示范重大项目A-0001"", ""stage"": ""construction_permit"", ""stage_name"": ""建设工程规划许可"", ""status"": ""已办结"", ""synthetic_seed"": 20260604, ""zdxm_sec"": ""SEC-0604-00000001"", ""zdxmbh"": ""ZDXM-000001""}"
