edge_id,source_node_id,target_node_id,edge_type,confidence,match_method,evidence
edge:00000001:HAS_LAND_PLAN,project:MP000001,landplan:PLAN000001,HAS_LAND_PLAN,0.985,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_plan""}"
edge:00000002:HAS_PRE_REVIEW,project:MP000001,prereview:PRE000001,HAS_PRE_REVIEW,0.98,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""pre_review""}"
edge:00000003:NEXT_STAGE,landplan:PLAN000001,prereview:PRE000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 1, ""to_stage_order"": 2}"
edge:00000004:HAS_SITE_SELECTION,project:MP000001,siteselection:SITE000001,HAS_SITE_SELECTION,0.975,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""site_selection""}"
edge:00000005:NEXT_STAGE,prereview:PRE000001,siteselection:SITE000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 2, ""to_stage_order"": 3}"
edge:00000006:HAS_CONVERSION,project:MP000001,conversionexpropriation:CONV000001,HAS_CONVERSION,0.97,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""conversion_expropriation""}"
edge:00000007:NEXT_STAGE,siteselection:SITE000001,conversionexpropriation:CONV000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 3, ""to_stage_order"": 4}"
edge:00000008:HAS_APPROVAL_PROJECT,project:MP000001,approvalproject:APPR000001,HAS_APPROVAL_PROJECT,0.965,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_project""}"
edge:00000009:NEXT_STAGE,conversionexpropriation:CONV000001,approvalproject:APPR000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 4, ""to_stage_order"": 5}"
edge:00000010:HAS_APPROVAL_SUPPLY,project:MP000001,approvalsupply:APPS000001,HAS_APPROVAL_SUPPLY,0.96,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""approval_supply""}"
edge:00000011:NEXT_STAGE,approvalproject:APPR000001,approvalsupply:APPS000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 5, ""to_stage_order"": 6}"
edge:00000012:HAS_LAND_SUPPLY,project:MP000001,landsupply:SUP000001,HAS_LAND_SUPPLY,0.955,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_supply""}"
edge:00000013:NEXT_STAGE,approvalsupply:APPS000001,landsupply:SUP000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 6, ""to_stage_order"": 7}"
edge:00000014:HAS_LAND_USE_PERMIT,project:MP000001,landusepermit:LUP000001,HAS_LAND_USE_PERMIT,0.95,exact_key,"{""source"": ""synthetic_lifecycle"", ""stage"": ""land_use_permit""}"
edge:00000015:NEXT_STAGE,landsupply:SUP000001,landusepermit:LUP000001,NEXT_STAGE,0.97,workflow_order,"{""from_stage_order"": 7, ""to_stage_order"": 8}"
