source_index,sub_index,source_reference,source_section,checkpoint_core_scope,key,entry_type,title,authors,year,venue,doi,arxiv,best_url,pdf_url,access_status,publisher,volume,number,pages,note,local_bib_key,local_bib_source,attachment_path,attachment_sha256,download_status,download_error
1,1,"Sutton, R. S. 1991. Dyna, an integrated architecture for learning, planning, and reacting.",1. 世界模型与 model-based RL 主线,True,sutton1991dyna,article,"Dyna, an integrated architecture for learning, planning, and reacting","Sutton, Richard S.",1991,ACM SIGART Bulletin,10.1145/122344.122377,,https://doi.org/10.1145/122344.122377,http://incompleteideas.net/papers/sutton-91-dyna.pdf,open_pdf_known,,2,4,160--163,,,,,,not_attempted,
2,1,"Ha, D. and Schmidhuber, J. 2018. World Models.",1. 世界模型与 model-based RL 主线,True,ha2018worldmodels,inproceedings,Recurrent world models facilitate policy evolution,"Ha, David; Schmidhuber, J{\""u}rgen",2018,Advances in Neural Information Processing Systems,,,https://worldmodels.github.io/,https://worldmodels.github.io/assets/world_models.pdf,open_pdf_known,,31,,,,ha2018world,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
3,1,"Hafner, D. et al. 2019. Learning Latent Dynamics for Planning from Pixels, PlaNet.",1. 世界模型与 model-based RL 主线,True,hafner2019planet,inproceedings,Learning latent dynamics for planning from pixels,"Hafner, Danijar; Lillicrap, Timothy; Fischer, Ian; Villegas, Ruben; Ha, David; others",2019,International Conference on Machine Learning,,,https://proceedings.mlr.press/v97/hafner19a.html,https://proceedings.mlr.press/v97/hafner19a/hafner19a.pdf,open_pdf_known,,97,,2555--2565,,hafner2019learning,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Hafner_2019_hafner2019planet.pdf,1c3aee51ab99649e970815a7f8bccae8c7711addbfc8d50c4853a0d2e742f26a,already_exists,
4,1,"Hafner, D. et al. 2020. Dream to Control: Learning Behaviors by Latent Imagination, Dreamer.",1. 世界模型与 model-based RL 主线,True,hafner2020dreamer,inproceedings,Dream to Control: Learning Behaviors by Latent Imagination,"Hafner, Danijar; Lillicrap, Timothy; Ba, Jimmy; Norouzi, Mohammad",2020,International Conference on Learning Representations,,,https://openreview.net/forum?id=S1lOTC4tDS,https://openreview.net/pdf?id=S1lOTC4tDS,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Hafner_2020_hafner2020dreamer.pdf,49670ea7eff8352541c549e3d9378ed8d19786ea6df7d3c9a15003b9c5ee9701,already_exists,
5,1,"Schrittwieser, J. et al. 2020. Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model, MuZero.",1. 世界模型与 model-based RL 主线,True,schrittwieser2020muzero,article,"Mastering Atari, Go, chess and shogi by planning with a learned model","Schrittwieser, Julian; Antonoglou, Ioannis; Hubert, Thomas; Simonyan, Karen; Sifre, Laurent; Schmitt, Simon; Guez, Arthur; Lockhart, Edward; Hassabis, Demis; Graepel, Thore; Lillicrap, Timothy; Silver, David",2020,Nature,10.1038/s41586-020-03051-4,,https://doi.org/10.1038/s41586-020-03051-4,,metadata_only_paywalled_or_no_stable_open_pdf,,588,7839,604--609,,schrittwieser2020muzero,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
6,1,"Chua, K. et al. 2018. Deep Reinforcement Learning in a Handful of Trials using Probabilistic Dynamics Models, PETS.",1. 世界模型与 model-based RL 主线,True,chua2018pets,inproceedings,Deep reinforcement learning in a handful of trials using probabilistic dynamics models,"Chua, Kurtland; Calandra, Roberto; McAllister, Rowan; Levine, Sergey",2018,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2018/hash/3de568f8597b94bda53149c7d7f5958c-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2018/file/3de568f8597b94bda53149c7d7f5958c-Paper.pdf,open_pdf_known,,31,,,,chua2018deep,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
7,1,"Janner, M. et al. 2019. When to Trust Your Model: Model-Based Policy Optimization.",1. 世界模型与 model-based RL 主线,True,janner2019mbpo,inproceedings,When to trust your model: Model-based policy optimization,"Janner, Michael; Fu, Justin; Zhang, Marvin; Levine, Sergey",2019,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2019/hash/5faf461eff3099671ad63c6f3f094f7f-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2019/file/5faf461eff3099671ad63c6f3f094f7f-Paper.pdf,open_pdf_known,,32,,,,janner2019trust,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
8,1,"Hansen, N. et al. 2022/2024. TD-MPC / TD-MPC2.",1. 世界模型与 model-based RL 主线,True,hansen2022tdmpc,inproceedings,Temporal Difference Learning for Model Predictive Control,"Hansen, Nicklas; Wang, Xiaolong; Su, Hao",2022,International Conference on Machine Learning,,,https://proceedings.mlr.press/v162/hansen22a.html,https://proceedings.mlr.press/v162/hansen22a/hansen22a.pdf,open_pdf_known,,,,,Represents TD-MPC in the source row 'TD-MPC / TD-MPC2'.,,,,,not_attempted,
8,2,"Hansen, N. et al. 2022/2024. TD-MPC / TD-MPC2.",1. 世界模型与 model-based RL 主线,True,hansen2024tdmpc2,inproceedings,"TD-MPC2: Scalable, robust world models for continuous control","Hansen, Nicklas; Su, Hao; Wang, Xiaolong",2024,International Conference on Learning Representations (ICLR),,,https://openreview.net/forum?id=Oxh5CstDJU,https://openreview.net/pdf?id=Oxh5CstDJU,open_pdf_known,,,,,Represents TD-MPC2 in the source row 'TD-MPC / TD-MPC2'.,hansen2024tdmpc2,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Hansen_2024_hansen2024tdmpc2.pdf,7561e4fff1f43673a901efa18afd59698be2313827c38e64213e3fe8a00ab874,already_exists,
9,1,"Camacho, E. F. and Bordons, C. Model Predictive Control.",2. MPC、规划和 constrained decision making,True,camacho2013mpc,book,Model Predictive Control,"Camacho, Eduardo F.; Bordons, Carlos",2013,Springer,10.1007/978-0-85729-398-5,,https://doi.org/10.1007/978-0-85729-398-5,,metadata_only_book,Springer,,,,,,,,,not_attempted,
10,1,"Rawlings, J. B. et al. Model Predictive Control: Theory, Computation, and Design.",2. MPC、规划和 constrained decision making,True,rawlings2017mpc,book,"Model Predictive Control: Theory, Computation, and Design","Rawlings, James B.; Mayne, David Q.; Diehl, Moritz M.",2017,Nob Hill Publishing,,,https://sites.engineering.ucsb.edu/~jbraw/mpc/,,metadata_only_book,Nob Hill Publishing,,,,,rawlings2017model_predictive_control,/Users/zhouning/paper10-geojepa-mpc-farmland-layout/references/paper10_verified_references_2026-06-09.bib,,,not_attempted,
11,1,"Williams, G. et al. 2017. Information Theoretic MPC / Model Predictive Path Integral Control.",2. MPC、规划和 constrained decision making,True,williams2017mppi,article,Model predictive path integral control: From theory to parallel computation,"Williams, Grady; Drews, Paul; Goldfain, Brian; Rehg, James M.; Theodorou, Evangelos A.",2017,"Journal of Guidance, Control, and Dynamics",10.2514/1.G001921,,https://doi.org/10.2514/1.G001921,,metadata_only_paywalled_or_no_stable_open_pdf,,40,2,344--357,,williams2017model,/Users/zhouning/arcgis-farmland-mpc/paper/references_v6.bib,,,not_attempted,
12,1,"Amos, B. and Kolter, J. Z. 2017. OptNet.",2. MPC、规划和 constrained decision making,True,amos2017optnet,inproceedings,OptNet: Differentiable Optimization as a Layer in Neural Networks,"Amos, Brandon; Kolter, J. Zico",2017,Proceedings of the 34th International Conference on Machine Learning,,,https://proceedings.mlr.press/v70/amos17a.html,https://proceedings.mlr.press/v70/amos17a/amos17a.pdf,open_pdf_known,,70,,136--145,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Amos_2017_amos2017optnet.pdf,0382fa97eb20c760b894320925645631ff817f94955c047d8c14b227f1791a9c,already_exists,
13,1,"Rubin, D. B. 1974. Estimating causal effects of treatments in randomized and nonrandomized studies.",3. 因果推断、反事实和 treatment-effect 校准,True,rubin1974causal,article,Estimating causal effects of treatments in randomized and nonrandomized studies,"Rubin, Donald B.",1974,Journal of Educational Psychology,10.1037/h0037350,,https://doi.org/10.1037/h0037350,,metadata_only_paywalled_or_no_stable_open_pdf,,66,5,688--701,,,,,,not_attempted,
14,1,"Rosenbaum, P. R. and Rubin, D. B. 1983. The central role of the propensity score.",3. 因果推断、反事实和 treatment-effect 校准,True,rosenbaum1983propensity,article,The central role of the propensity score in observational studies for causal effects,"Rosenbaum, Paul R.; Rubin, Donald B.",1983,Biometrika,10.1093/biomet/70.1.41,,https://doi.org/10.1093/biomet/70.1.41,,metadata_only_paywalled_or_no_stable_open_pdf,,70,1,41--55,,,,,,not_attempted,
15,1,"Pearl, J. 2009. Causality.",3. 因果推断、反事实和 treatment-effect 校准,True,pearl2009causality,book,"Causality: Models, Reasoning, and Inference","Pearl, Judea",2009,Cambridge University Press,,,https://www.cambridge.org/core/books/causality/3A9714D7B07946B52BE2D9F6FE51A5B1,,metadata_only_book,Cambridge University Press,,,,,,,,,not_attempted,
16,1,"Imbens, G. W. and Rubin, D. B. 2015. Causal Inference for Statistics, Social, and Biomedical Sciences.",3. 因果推断、反事实和 treatment-effect 校准,True,imbens2015causal,book,"Causal Inference for Statistics, Social, and Biomedical Sciences: An Introduction","Imbens, Guido W.; Rubin, Donald B.",2015,Cambridge University Press,10.1017/CBO9781139025751,,https://doi.org/10.1017/CBO9781139025751,,metadata_only_book,Cambridge University Press,,,,,,,,,not_attempted,
17,1,"Athey, S. and Imbens, G. 2016. Recursive partitioning for heterogeneous causal effects.",3. 因果推断、反事实和 treatment-effect 校准,True,athey2016recursive,article,Recursive partitioning for heterogeneous causal effects,"Athey, Susan; Imbens, Guido",2016,Proceedings of the National Academy of Sciences,10.1073/pnas.1510489113,,https://doi.org/10.1073/pnas.1510489113,https://www.pnas.org/doi/pdf/10.1073/pnas.1510489113,open_pdf_known,,113,27,7353--7360,,,,,,not_attempted,
18,1,"Wager, S. and Athey, S. 2018. Estimation and inference of heterogeneous treatment effects using random forests.",3. 因果推断、反事实和 treatment-effect 校准,True,wager2018causalforest,article,Estimation and inference of heterogeneous treatment effects using random forests,"Wager, Stefan; Athey, Susan",2018,Journal of the American Statistical Association,10.1080/01621459.2017.1319839,1510.04342,https://doi.org/10.1080/01621459.2017.1319839,https://arxiv.org/pdf/1510.04342,open_pdf_known,,113,523,1228--1242,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Wager_2018_wager2018causalforest.pdf,4ce3bc946f2f3aae9f0d2a485e5f6632b7e5cfd94639f4b50edd6347bb219e6a,already_exists,
19,1,"Chernozhukov, V. et al. 2018. Double/debiased machine learning.",3. 因果推断、反事实和 treatment-effect 校准,True,chernozhukov2018doubleml,article,Double/debiased machine learning for treatment and structural parameters,"Chernozhukov, Victor; Chetverikov, Denis; Demirer, Mert; Duflo, Esther; Hansen, Christian; Newey, Whitney; Robins, James",2018,The Econometrics Journal,10.1111/ectj.12097,1608.00060,https://doi.org/10.1111/ectj.12097,https://arxiv.org/pdf/1608.00060,open_pdf_known,,21,1,C1--C68,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Chernozhukov_2018_chernozhukov2018doubleml.pdf,3186133dacb9f4a31c004a00150627de1e5cf26e203d1522a25a5444c7dbdf78,already_exists,
20,1,"Battaglia, P. W. et al. 2018. Relational inductive biases, deep learning, and graph networks.",4. 图网络、关系归纳偏置与层级状态,True,battaglia2018graphnetworks,article,"Relational inductive biases, deep learning, and graph networks","Battaglia, Peter W.; Hamrick, Jessica B.; Bapst, Victor; Sanchez-Gonzalez, Alvaro; Zambaldi, Vinicius; Malinowski, Mateusz; Tacchetti, Andrea; Raposo, David; Santoro, Adam; Faulkner, Ryan; Gulcehre, Caglar; Song, Francis; Ballard, Andrew; Gilmer, Justin; Dahl, George; Vaswani, Ashish; Allen, Kelsey; Nash, Charles; Langston, Victoria; Dyer, Chris; Heess, Nicolas; Wierstra, Daan; Kohli, Pushmeet; Botvinick, Matthew; Vinyals, Oriol; Li, Yujia; Pascanu, Razvan",2018,arXiv preprint arXiv:1806.01261,,1806.01261,https://arxiv.org/abs/1806.01261,https://arxiv.org/pdf/1806.01261,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Battaglia_2018_battaglia2018graphnetworks.pdf,3ff9931633c2fdd56cd45f1169c960b5298493f167b575ae656e0724d30257f4,already_exists,
21,1,"Kipf, T. N. and Welling, M. 2017. Semi-supervised classification with graph convolutional networks.",4. 图网络、关系归纳偏置与层级状态,True,kipf2017gcn,inproceedings,Semi-Supervised Classification with Graph Convolutional Networks,"Kipf, Thomas N.; Welling, Max",2017,International Conference on Learning Representations,,1609.02907,https://openreview.net/forum?id=SJU4ayYgl,https://openreview.net/pdf?id=SJU4ayYgl,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Kipf_2017_kipf2017gcn.pdf,60d167f013b706681799c0c61c7aeead2e29fbb6549b64454abf0ad31a36de9f,already_exists,
