unit_id,approval_id,project_id,approval_status,outcome,approved_area_m2,area_m2,DKMJ,stratum,cluster,spatial_cluster,neighbors,neighbor_unit_ids,x,y,quality_score,baseline_risk_score,risk_score,review_penalty,rule_eval_count,rule_hit_count,critical_rule_hit_count,high_rule_hit_count,review_task_count,open_review_count,completed_review_count,supplement_required_review_count,confirmed_violation_count,propensity_score,evidence_weight,synthetic,not_for_production,data_role,source_path,region_code,period,time_index,scenario_id,split,action_type,counterfactual_group,treatment_effect,baseline_state_score,next_state_score,constraint_risk_delta,planning_utility_delta,uncertainty,action_mask_allowed,action_mask_required_reviews,action_mask_hard_blocks,action_mask_policy
TWM-SYN-C-0000,APR-TWM-SYN-C-0000,PRJ-TWM-SYN-C-0000,in_review,0.47848,0.0,74799.346,74799.346,SYN-R00:township_0,syn_component_r00_t00_c00,syn_component_r00_t00_c00,TWM-SYN-T-0000,TWM-SYN-T-0000,106.0,29.3,0.82,0.16,0.16,0.04,4,0,0,0,1,0,1,0,0,0.5,0.83,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,protect,pair_0000,0.058,0.4804,0.47848,-0.062,0.08784,0.07,True,,,low_risk_allowed
TWM-SYN-T-0000,APR-TWM-SYN-T-0000,PRJ-TWM-SYN-T-0000,approved,0.53648,74799.346,74799.346,74799.346,SYN-R00:township_0,syn_component_r00_t00_c00,syn_component_r00_t00_c00,TWM-SYN-C-0000,TWM-SYN-C-0000,106.001,29.301,0.82,0.16,0.16,0.04,4,0,0,0,1,0,1,0,0,0.5,0.83,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,protect,pair_0000,0.058,0.4804,0.53648,-0.062,0.08784,0.07,True,,,low_risk_allowed
TWM-SYN-C-0001,APR-TWM-SYN-C-0001,PRJ-TWM-SYN-C-0001,in_review,0.475888,0.0,161132.745,161132.745,SYN-R00:township_1,syn_component_r00_t00_c01,syn_component_r00_t00_c01,TWM-SYN-T-0001,TWM-SYN-T-0001,106.012,29.304,0.805,0.166,0.166,0.06,4,0,0,0,1,0,1,0,0,0.5,0.804,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,restore,pair_0001,0.042,0.47788,0.475888,-0.02,0.027648,0.096,True,,,low_risk_allowed
TWM-SYN-T-0001,APR-TWM-SYN-T-0001,PRJ-TWM-SYN-T-0001,approved,0.517888,161132.745,161132.745,161132.745,SYN-R00:township_1,syn_component_r00_t00_c01,syn_component_r00_t00_c01,TWM-SYN-C-0001,TWM-SYN-C-0001,106.013,29.305,0.805,0.166,0.166,0.06,4,0,0,0,1,0,1,0,0,0.5,0.804,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,restore,pair_0001,0.042,0.47788,0.517888,-0.02,0.027648,0.096,True,,,low_risk_allowed
TWM-SYN-C-0002,APR-TWM-SYN-C-0002,PRJ-TWM-SYN-C-0002,in_review,0.47608,0.0,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t00_c02,syn_component_r00_t00_c02,TWM-SYN-T-0002,TWM-SYN-T-0002,106.024,29.308,0.79,0.16,0.16,0.08,4,0,0,0,1,0,1,1,0,0.5,0.799,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,approve_with_conditions,pair_0002,0.039,0.478,0.47608,-0.012,0.0316,0.101,True,,,low_risk_allowed
TWM-SYN-T-0002,APR-TWM-SYN-T-0002,PRJ-TWM-SYN-T-0002,approved,0.51508,164836.946,164836.946,164836.946,SYN-R00:township_2,syn_component_r00_t00_c02,syn_component_r00_t00_c02,TWM-SYN-C-0002,TWM-SYN-C-0002,106.025,29.309,0.79,0.16,0.16,0.08,4,0,0,0,1,0,1,1,0,0.5,0.799,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,approve_with_conditions,pair_0002,0.039,0.478,0.51508,-0.012,0.0316,0.101,True,,,low_risk_allowed
TWM-SYN-C-0003,APR-TWM-SYN-C-0003,PRJ-TWM-SYN-C-0003,in_review,0.473488,0.0,77675.633,77675.633,SYN-R00:township_0,syn_component_r00_t00_c03,syn_component_r00_t00_c03,TWM-SYN-T-0003,TWM-SYN-T-0003,106.036,29.312,0.775,0.166,0.166,0.1,4,0,0,0,1,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,defer_review,pair_0003,0.012,0.47548,0.473488,0.018,-0.014592,0.15,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-T-0003,APR-TWM-SYN-T-0003,PRJ-TWM-SYN-T-0003,approved,0.485488,77675.633,77675.633,77675.633,SYN-R00:township_0,syn_component_r00_t00_c03,syn_component_r00_t00_c03,TWM-SYN-C-0003,TWM-SYN-C-0003,106.037,29.313,0.775,0.166,0.166,0.1,4,0,0,0,1,0,1,1,0,0.5,0.75,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q1+0,0,scenario_protect_0,train,defer_review,pair_0003,0.012,0.47548,0.485488,0.018,-0.014592,0.15,False,synthetic_defer_review,,defer_review_always_review
TWM-SYN-C-0004,APR-TWM-SYN-C-0004,PRJ-TWM-SYN-C-0004,in_review,0.479632,0.0,15993.242,15993.242,SYN-R00:township_0,syn_component_r00_t01_c00,syn_component_r00_t01_c00,TWM-SYN-T-0004,TWM-SYN-T-0004,106.0,29.318,0.825,0.174,0.174,0.06,4,0,0,0,1,0,1,0,0,0.5,0.806,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,protect,pair_0004,0.036,0.47772,0.479632,-0.026,0.023552,0.094,True,,,low_risk_allowed
TWM-SYN-T-0004,APR-TWM-SYN-T-0004,PRJ-TWM-SYN-T-0004,approved,0.515632,15993.242,15993.242,15993.242,SYN-R00:township_0,syn_component_r00_t01_c00,syn_component_r00_t01_c00,TWM-SYN-C-0004,TWM-SYN-C-0004,106.001,29.319,0.825,0.174,0.174,0.06,4,0,0,0,1,0,1,0,0,0.5,0.806,True,True,synthetic_experiment_foundation,/Users/zhouning/gisdataagent/data_agent/test_data/twm_bishan_multi_admin_eval,SYN-R00,2026Q2+0,1,scenario_restore_1,train,protect,pair_0004,0.036,0.47772,0.515632,-0.026,0.023552,0.094,True,,,low_risk_allowed
