specification,metric_id,model_id,score,row_count
reported_horizons_all_zones,equal_event_normalized_mae,history_ar_backbone,0.3626162626409588,21040
reported_horizons_all_zones,equal_event_median_normalized_ae,history_ar_backbone,0.1932232907546251,21040
reported_horizons_all_zones,equal_event_log1p_mae,history_ar_backbone,0.2829191146004519,21040
reported_horizons_all_zones,equal_event_wape,history_ar_backbone,0.12483415293201638,21040
all_12_horizons_all_zones,equal_event_normalized_mae,history_ar_backbone,0.38374996122934624,50496
reported_horizons_scale_at_least_10,equal_event_normalized_mae,history_ar_backbone,0.275973051520483,16525
reported_horizons_scale_at_least_100,equal_event_normalized_mae,history_ar_backbone,0.20243493545043117,10785
reported_horizons_all_zones,equal_event_normalized_mae,fixed_adjacency_spatial_ar,0.36141612169760795,21040
reported_horizons_all_zones,equal_event_median_normalized_ae,fixed_adjacency_spatial_ar,0.19293854144584482,21040
reported_horizons_all_zones,equal_event_log1p_mae,fixed_adjacency_spatial_ar,0.28196684694488905,21040
reported_horizons_all_zones,equal_event_wape,fixed_adjacency_spatial_ar,0.12526598086472449,21040
all_12_horizons_all_zones,equal_event_normalized_mae,fixed_adjacency_spatial_ar,0.3830715931479063,50496
reported_horizons_scale_at_least_10,equal_event_normalized_mae,fixed_adjacency_spatial_ar,0.2754126678377157,16525
reported_horizons_scale_at_least_100,equal_event_normalized_mae,fixed_adjacency_spatial_ar,0.20245552334566436,10785
reported_horizons_all_zones,equal_event_normalized_mae,dam_gk_residual_no_action,0.3724083676061702,21040
reported_horizons_all_zones,equal_event_median_normalized_ae,dam_gk_residual_no_action,0.21316709364800174,21040
reported_horizons_all_zones,equal_event_log1p_mae,dam_gk_residual_no_action,0.2932781921877718,21040
reported_horizons_all_zones,equal_event_wape,dam_gk_residual_no_action,0.16750321606846014,21040
all_12_horizons_all_zones,equal_event_normalized_mae,dam_gk_residual_no_action,0.3866730845138219,50496
reported_horizons_scale_at_least_10,equal_event_normalized_mae,dam_gk_residual_no_action,0.28298361376914544,16525
reported_horizons_scale_at_least_100,equal_event_normalized_mae,dam_gk_residual_no_action,0.2128869780869826,10785
reported_horizons_all_zones,equal_event_normalized_mae,uwm_dam_gk_action_residual,0.36838923900541926,21040
reported_horizons_all_zones,equal_event_median_normalized_ae,uwm_dam_gk_action_residual,0.2179492512690549,21040
reported_horizons_all_zones,equal_event_log1p_mae,uwm_dam_gk_action_residual,0.29311247286262704,21040
reported_horizons_all_zones,equal_event_wape,uwm_dam_gk_action_residual,0.210485345505347,21040
all_12_horizons_all_zones,equal_event_normalized_mae,uwm_dam_gk_action_residual,0.379254504055795,50496
reported_horizons_scale_at_least_10,equal_event_normalized_mae,uwm_dam_gk_action_residual,0.2815115396674819,16525
reported_horizons_scale_at_least_100,equal_event_normalized_mae,uwm_dam_gk_action_residual,0.22182749433391963,10785
